# Progeria-up genes linked to gained pS22-Lamin A/C-binding sites
# Output of metascape DisGeNet analysis for the 192 Progeria-up genes linked to gained pLMNA-binding sites. 0, Not associated with the term. 1, Associated with the term.																									
# up_gain_192	Gene ID	Type	Tax ID	Homologene Gene ID	Homologene Gene Tax ID	C0023890 Liver Cirrhosis	C3495559 Juvenile arthritis	C0020538 Hypertensive disease	C0018800 Cardiomegaly	C0014175 Endometriosis	C0003873 Rheumatoid Arthritis	C0007273 Carotid Artery Diseases	C0010520 Cyanosis	C0023893 Liver Cirrhosis, Experimental	C1956346 Coronary Artery Disease	C1458155 Mammary Neoplasms	C0040128 Thyroid Diseases	C1862863 Sparse body hair	C0018965 Hematuria	C3714796 Isolated somatotropin deficien	C0151744 Myocardial Ischemia	C0038454 Cerebrovascular accident	C1260926 Abnormal pigmentation	C0018273 Growth Disorders	C0010606 Adenoid Cystic Carcinoma
AASS	10157	symbol	H. sapiens	10157	H. sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCA3	21	symbol	H. sapiens	21	H. sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABI3BP	25890	symbol	H. sapiens	25890	H. sapiens	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACO1	48	symbol	H. sapiens	48	H. sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADPRH	141	symbol	H. sapiens	141	H. sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AFAP1	60312	symbol	H. sapiens	60312	H. sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AFF3	3899	symbol	H. sapiens	3899	H. sapiens	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AHR	196	symbol	H. sapiens	196	H. sapiens	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
AK4	205	symbol	H. sapiens	205	H. sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANKRD37	353322	symbol	H. sapiens	353322	H. sapiens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
